Prefecture	メジャー ネーム	平均 Area	平均 Trade Price
Akita Prefecture	平均 Trade Price		7,491,961.93
Shimane Prefecture	平均 Trade Price		7,845,614.43
Aomori Prefecture	平均 Trade Price		8,383,437.36
Yamagata Prefecture	平均 Trade Price		9,292,638.00
Tottori Prefecture	平均 Trade Price		9,588,257.15
Miyazaki Prefecture	平均 Trade Price		9,707,891.13
Kochi Prefecture	平均 Trade Price		9,951,714.58
Iwate Prefecture	平均 Trade Price		10,078,313.67
Kagoshima Prefecture	平均 Trade Price		10,238,539.81
Tokushima Prefecture	平均 Trade Price		12,053,048.64
Niigata Prefecture	平均 Trade Price		12,191,023.17
Saga Prefecture	平均 Trade Price		12,211,424.06
Oita Prefecture	平均 Trade Price		12,496,608.11
Toyama Prefecture	平均 Trade Price		12,629,216.59
Fukushima Prefecture	平均 Trade Price		13,312,699.58
Yamanashi Prefecture	平均 Trade Price		13,448,453.08
Fukui Prefecture	平均 Trade Price		13,523,375.34
Yamaguchi Prefecture	平均 Trade Price		13,619,652.88
Kumamoto Prefecture	平均 Trade Price		14,291,316.42
Kagawa Prefecture	平均 Trade Price		14,343,542.12
Nagasaki Prefecture	平均 Trade Price		14,455,100.69
Nagano Prefecture	平均 Trade Price		14,503,670.77
Wakayama Prefecture	平均 Trade Price		14,765,941.37
Tochigi Prefecture	平均 Trade Price		14,896,945.52
Gifu Prefecture	平均 Trade Price		15,107,657.37
Ibaraki Prefecture	平均 Trade Price		15,155,737.64
Mie Prefecture	平均 Trade Price		15,691,674.58
Gunma Prefecture	平均 Trade Price		15,787,171.41
Ishikawa Prefecture	平均 Trade Price		15,859,472.27
Ehime Prefecture	平均 Trade Price		16,432,076.96
Hokkaido	平均 Trade Price		16,827,899.95
Okayama Prefecture	平均 Trade Price		17,443,121.94
Shiga Prefecture	平均 Trade Price		20,435,807.89
Shizuoka Prefecture	平均 Trade Price		22,442,485.06
Miyagi Prefecture	平均 Trade Price		22,538,526.93
Nara Prefecture	平均 Trade Price		22,585,067.10
Okinawa Prefecture	平均 Trade Price		24,301,813.33
Hiroshima Prefecture	平均 Trade Price		24,472,304.12
Chiba Prefecture	平均 Trade Price		26,209,904.04
Fukuoka Prefecture	平均 Trade Price		28,351,623.94
Hyogo Prefecture	平均 Trade Price		28,659,372.74
Saitama Prefecture	平均 Trade Price		30,370,126.07
Aichi Prefecture	平均 Trade Price		33,602,833.89
Kyoto Prefecture	平均 Trade Price		34,552,208.73
Osaka Prefecture	平均 Trade Price		40,767,433.45
Kanagawa Prefecture	平均 Trade Price		40,833,375.70
Tokyo	平均 Trade Price		65,590,698.62
Akita Prefecture	平均 Area	1,204.30	
Shimane Prefecture	平均 Area	716.50	
Aomori Prefecture	平均 Area	1,186.91	
Yamagata Prefecture	平均 Area	894.22	
Tottori Prefecture	平均 Area	673.23	
Miyazaki Prefecture	平均 Area	1,063.19	
Kochi Prefecture	平均 Area	877.61	
Iwate Prefecture	平均 Area	897.34	
Kagoshima Prefecture	平均 Area	907.81	
Tokushima Prefecture	平均 Area	667.46	
Niigata Prefecture	平均 Area	725.42	
Saga Prefecture	平均 Area	947.18	
Oita Prefecture	平均 Area	828.57	
Toyama Prefecture	平均 Area	553.04	
Fukushima Prefecture	平均 Area	694.40	
Yamanashi Prefecture	平均 Area	535.25	
Fukui Prefecture	平均 Area	633.86	
Yamaguchi Prefecture	平均 Area	608.17	
Kumamoto Prefecture	平均 Area	898.93	
Kagawa Prefecture	平均 Area	548.71	
Nagasaki Prefecture	平均 Area	557.15	
Nagano Prefecture	平均 Area	557.45	
Wakayama Prefecture	平均 Area	464.11	
Tochigi Prefecture	平均 Area	665.16	
Gifu Prefecture	平均 Area	622.04	
Ibaraki Prefecture	平均 Area	579.02	
Mie Prefecture	平均 Area	584.67	
Gunma Prefecture	平均 Area	570.12	
Ishikawa Prefecture	平均 Area	488.28	
Ehime Prefecture	平均 Area	635.30	
Hokkaido	平均 Area	858.16	
Okayama Prefecture	平均 Area	616.96	
Shiga Prefecture	平均 Area	494.28	
Shizuoka Prefecture	平均 Area	451.45	
Miyagi Prefecture	平均 Area	608.41	
Nara Prefecture	平均 Area	377.06	
Okinawa Prefecture	平均 Area	629.46	
Hiroshima Prefecture	平均 Area	445.02	
Chiba Prefecture	平均 Area	350.43	
Fukuoka Prefecture	平均 Area	414.63	
Hyogo Prefecture	平均 Area	304.19	
Saitama Prefecture	平均 Area	253.27	
Aichi Prefecture	平均 Area	298.21	
Kyoto Prefecture	平均 Area	260.26	
Osaka Prefecture	平均 Area	169.02	
Kanagawa Prefecture	平均 Area	170.98	
Tokyo	平均 Area	117.09	